Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Severity Value,AVERAGE MEAN
Sweet potato,1999,Kharif,34100,292450,1484.3,3619033,9207,8.429642857,4,24.88
Sweet potato,1999,Rabi,9780,68770,1484.3,1037951.4,2640.6,7.766153846,4,24.88
Tobacco,1999,Whole Year,7430,4590,1484.3,788545.9,2006.1,0.558181818,4,24.88
Turmeric,1999,Kharif,28120,61180,1484.3,2984375.6,7592.4,1.9832,4,24.88
Urad,1999,Kharif,198000,71940,1484.3,21013740,53460,0.386666667,4,24.88
Urad,1999,Rabi,285970,105570,1484.3,30349996.1,77211.9,0.366333333,4,24.88
Wheat,1999,Rabi,18540,24850,1484.3,1967650.2,5005.8,1.351333333,4,24.88
Arhar/Tur,2000,Kharif,149140,97170,1066,14641073.8,38776.4,0.639666667,3,24.8
Arhar/Tur,2000,Rabi,50,30,1066,4908.5,13,0.585,3,24.8
Bajra,2000,Kharif,4120,2350,1066,404460.4,1071.2,0.564,3,24.8
Castor seed,2000,Kharif,9710,5050,1066,953230.7,2524.6,0.5196,3,24.8
Castor seed,2000,Rabi,8650,3940,1066,849170.5,2249,0.506923077,3,24.8
Coriander,2000,Whole Year,13370,6550,1066,1312532.9,3476.2,0.482222222,3,24.8
Cotton(lint),2000,Kharif,39160,65090,1066,3844337.2,10181.6,1.654,3,24.8
Dry chillies,2000,Whole Year,69650,58950,1066,6837540.5,18109,0.838,3,24.8
Garlic,2000,Whole Year,9000,28280,1066,883530,2340,3.123,3,24.8
Ginger,2000,Kharif,12060,23840,1066,1183930.2,3135.6,1.962142857,3,24.8
Gram,2000,Rabi,20630,12760,1066,2025247.1,5363.8,0.528666667,3,24.8
Groundnut,2000,Kharif,72357,57475,1066,7103286.69,18812.82,0.885666667,3,24.8
Horse-gram,2000,Kharif,75996,14594,1066,7460527.32,19758.96,0.217931034,3,24.8
Jowar,2000,Kharif,13000,7480,1066,1276210,3380,0.598,3,24.8
Jute,2000,Kharif,13850,106680,1066,1359654.5,3601,5.8825,3,24.8
Linseed,2000,Rabi,20630,7460,1066,2025247.1,5363.8,0.361875,3,24.8
Maize,2000,Kharif,54371,68866,1066,5337601.07,14136.46,0.8808,3,24.8
Mesta,2000,Kharif,23880,102620,1066,2344299.6,6208.8,3.9072,3,24.8
Moong(Green Gram),2000,Kharif,147440,29290,1066,14474184.8,38334.4,0.21,3,24.8
Niger seed,2000,Kharif,126530,29980,1066,12421450.1,32897.8,0.342307692,3,24.8
Niger seed,2000,Rabi,31500,9030,1066,3092355,8190,0.384545455,3,24.8
Onion,2000,Whole Year,27400,229420,1066,2689858,7124,7.385666667,3,24.8
Other  Rabi pulses,2000,Rabi,2180,1090,1066,214010.6,566.8,0.514444444,3,24.8
Other Kharif pulses,2000,Kharif,26610,14510,1066,2612303.7,6918.6,0.520714286,3,24.8
Potato,2000,Whole Year,8251,85872,1066,810000.67,2145.26,9.321071429,3,24.8
Ragi,2000,Kharif,83981,46554,1066,8244414.77,21835.06,0.424230769,3,24.8
Rapeseed &Mustard,2000,Rabi,12395,1649,1066,1216817.15,3222.7,0.132758621,3,24.8
Rice,2000,Autumn,854570,464250,1066,83893136.9,222188.2,0.733666667,3,24.8
Rice,2000,Summer,206730,441540,1066,20294684.1,53749.8,1.685333333,3,24.8
Rice,2000,Winter,3372220,3707590,1066,331050837.4,876777.2,1.020666667,3,24.8
Safflower,2000,Rabi,1390,780,1066,136456.3,361.4,0.546,3,24.8
Sannhamp,2000,Whole Year,11160,42290,1066,1095577.2,2901.6,4.0725,3,24.8
Sesamum,2000,Kharif,50502,6737,1066,4957781.34,13130.52,0.182,3,24.8
Small millets,2000,Kharif,40520,15630,1066,3977848.4,10535.2,0.411666667,3,24.8
Sugarcane,2000,Whole Year,16775,963917,1066,1646801.75,4361.5,51.06793103,3,24.8
Sunflower,2000,Kharif,830,480,1066,81481.1,215.8,0.58,3,24.8
Sunflower,2000,Rabi,4250,3110,1066,417222.5,1105,0.643928571,3,24.8
Sweet potato,2000,Whole Year,37670,272050,1066,3698063.9,9794.2,7.797666667,3,24.8
Tobacco,2000,Whole Year,3380,1560,1066,331814.6,878.8,0.454166667,3,24.8
Turmeric,2000,Whole Year,25310,60630,1066,2484682.7,6580.6,2.341923077,3,24.8
Urad,2000,Kharif,109101,27258,1066,10710445.17,28366.26,0.215666667,3,24.8
Wheat,2000,Rabi,8819,12904,1066,865761.23,2292.94,1.201538462,3,24.8
Arhar/Tur,2001,Kharif,126080,81340,1672.5,12876550.4,32780.8,0.696666667,2,24.93
Arhar/Tur,2001,Rabi,290,160,1672.5,29617.7,75.4,0.616666667,2,24.93
Bajra,2001,Kharif,4010,2270,1672.5,409541.3,1042.6,0.555,2,24.93
Castor seed,2001,Kharif,8670,4310,1672.5,885467.1,2254.2,0.520909091,2,24.93
Castor seed,2001,Rabi,9220,5020,1672.5,941638.6,2397.2,0.5328,2,24.93
Coriander,2001,Whole Year,12910,5970,1672.5,1318498.3,3356.6,0.449666667,2,24.93
Dry chillies,2001,Whole Year,70030,59180,1672.5,7152163.9,18207.8,0.844666667,2,24.93
Garlic,2001,Whole Year,8950,28280,1672.5,914063.5,2327,3.164666667,2,24.93
Ginger,2001,Kharif,13040,25210,1672.5,1331775.2,3390.4,1.808666667,2,24.93
Gram,2001,Rabi,29520,19180,1672.5,3014877.6,7675.2,0.514642857,2,24.93
Groundnut,2001,Kharif,61067,59904,1672.5,6236772.71,15877.42,0.966666667,2,24.93
